timestamp,A2
0,561
1,560
2,560
3,560
4,559
5,558
6,557
7,558
8,557
9,557
10,557
11,555
12,555
13,554
14,553
15,553
16,552
17,551
18,551
19,551
20,550
21,550
22,549
23,549
24,548
25,548
26,548
27,547
28,546
29,545
30,545
31,545
32,544
33,544
34,543
35,543
36,543
37,542
38,542
39,542
40,542
41,541
42,540
43,539
44,539
45,540
46,539
47,538
48,537
49,537
50,536
51,536
52,536
53,535
54,535
55,535
56,534
57,534
58,533
59,532
60,532
61,531
62,531
63,531
64,531
65,530
66,530
67,529
68,529
69,529
70,529
71,528
72,528
73,528
74,527
75,527
76,526
77,526
78,526
79,525
80,526
81,525
82,525
83,525
84,524
85,525
86,525
87,525
88,525
89,524
90,524
91,523
92,523
93,523
94,522
95,522
96,521
97,521
98,521
99,521
100,521
101,520
102,520
103,519
104,519
105,519
106,519
107,519
108,519
109,519
110,519
111,519
112,519
113,518
114,518
115,518
116,518
117,518
118,518
119,519
120,519
121,518
122,518
123,518
124,517
125,516
126,516
127,516
128,515
129,515
130,515
131,515
132,514
133,514
134,514
135,515
136,514
137,514
138,514
139,513
140,514
141,513
142,513
143,513
144,512
145,513
146,512
147,512
148,513
149,512
150,512
151,512
152,512
153,512
154,512
155,512
156,511
157,511
158,511
159,511
160,511
161,511
162,510
163,510
164,510
165,510
166,510
167,510
168,510
169,510
170,511
171,511
172,511
173,511
174,511
175,511
176,511
177,511
178,511
179,510
180,510
181,510
182,510
183,509
184,509
185,508
186,508
187,508
188,508
189,507
190,507
191,507
192,508
193,508
194,507
195,508
196,508
197,507
198,507
199,507
200,507
201,507
202,507
203,507
204,507
205,507
206,507
207,507
208,507
209,507
210,507
211,507
212,507
213,507
214,507
215,507
216,507
217,507
218,507
219,506
220,506
221,507
222,507
223,506
224,506
225,507
226,506
227,507
228,507
229,507
230,507
231,507
232,507
233,507
234,507
235,506
236,506
237,505
238,505
239,503
240,502
241,501
242,499
243,498
244,496
245,495
246,495
247,493
248,491
249,489
250,488
251,487
252,486
253,484
254,483
255,483
256,482
257,481
258,480
259,479
260,479
261,478
262,478
263,478
264,477
265,477
266,476
267,476
268,475
269,475
270,475
271,475
272,475
273,475
274,476
275,475
276,476
277,476
278,476
279,477
280,478
281,478
282,479
283,479
284,479
285,480
286,481
287,482
288,482
289,483
290,485
291,486
292,487
293,488
294,489
295,491
296,492
297,493
298,495
299,496
300,496
301,497
302,499
303,500
304,501
305,503
306,504
307,506
308,507
309,508
310,510
311,512
312,513
313,515
314,516
315,518
316,519
317,519
318,520
319,520
320,521
321,520
