timestamp,A2
0,510
1,508
2,507
3,507
4,506
5,506
6,507
7,508
8,508
9,508
10,510
11,508
12,508
13,507
14,507
15,506
16,507
17,507
18,507
19,506
20,507
21,507
22,507
23,508
24,506
25,510
26,508
27,508
28,506
29,508
30,508
31,509
32,507
33,507
34,509
35,505
36,508
37,508
38,508
39,508
40,506
41,507
42,508
43,508
44,509
45,511
46,508
47,508
48,509
49,507
50,508
51,507
52,506
53,509
54,507
55,510
56,508
57,510
58,509
59,507
60,507
61,507
62,508
63,508
64,508
65,510
66,508
67,509
68,510
69,509
70,507
71,508
72,507
73,506
74,509
75,509
76,509
77,510
78,508
79,505
80,506
81,504
82,501
83,503
84,504
85,508
86,509
87,510
88,509
89,511
90,512
91,514
92,514
93,515
94,513
95,513
96,510
97,507
98,509
99,507
100,504
101,505
102,504
103,504
104,505
105,504
106,507
107,506
108,507
109,506
110,506
111,504
112,504
113,500
114,504
115,504
116,502
117,507
118,508
119,510
120,513
121,513
122,515
123,516
124,522
125,518
126,511
127,510
128,509
129,510
130,509
131,507
132,504
133,504
134,504
135,505
136,504
137,504
138,506
139,509
140,505
141,506
142,506
143,507
144,506
145,505
146,505
147,506
148,508
149,508
150,508
151,511
152,508
153,508
154,508
155,510
156,510
157,510
158,510
159,503
160,501
161,499
162,500
163,503
164,504
165,506
166,509
167,509
168,514
169,516
170,516
171,519
172,522
173,519
174,513
175,510
176,509
177,504
178,504
179,504
180,504
181,506
182,505
183,505
184,504
185,504
186,504
187,507
188,508
189,505
190,507
191,508
192,508
193,509
194,507
195,508
196,509
197,508
198,509
199,508
200,508
201,508
202,507
203,509
204,507
205,507
206,509
207,506
208,508
209,509
210,508
211,508
212,507
213,508
214,509
215,508
216,508
217,508
218,509
219,509
220,508
221,508
222,509
223,507
224,509
225,507
226,507
227,508
228,508
229,508
230,507
231,508
232,508
233,508
234,506
235,508
236,510
237,509
238,508
239,506
240,507
241,508
242,507
243,507
244,507
245,506
246,507
247,507
248,509
249,509
250,509
251,510
252,508
253,508
254,508
255,509
256,509
257,506
258,508
259,511
260,509
261,508
262,508
263,509
264,510
265,507
266,511
267,510
268,508
269,507
270,510
271,508
272,507
273,507
274,507
275,508
276,507
277,508
278,508
279,508
280,508
281,508
282,508
283,508
284,508
285,509
286,507
287,508
288,505
289,507
290,505
291,509
292,507
293,507
294,507
295,509
296,509
297,507
298,509
299,509
300,509
301,510
302,507
303,508
304,508
305,505
306,505
307,507
308,507
309,509
310,510
311,509
312,507
313,507
314,509
315,509
316,508
317,508
318,507
319,508
320,510
321,508
322,507
323,507
324,506
325,507
326,508
327,507
328,507
329,508
330,510
331,507
332,508
333,510
334,511
335,510
336,510
337,506
338,506
339,508
340,509
341,509
342,510
343,508
344,507
345,507
346,507
347,509
348,508
349,507
350,508
351,508
352,507
353,510
354,508
355,507
356,505
357,508
358,508
359,508
360,505
361,507
362,509
363,508
364,507
365,510
366,510
367,508
368,508
369,508
370,508
371,508
372,506
373,508
374,507
375,506
376,508
377,508
378,510
379,510
380,508
381,509
382,510
383,509
384,509
385,508
386,508
387,509
388,508
389,508
390,508
391,506
392,507
393,504
394,508
395,508
396,507
397,508
398,507
399,509
400,511
401,506
402,507
403,508
404,508
405,507
406,507
407,509
408,507
409,508
410,505
411,509
412,506
413,508
414,508
415,507
416,509
417,508
418,508
419,508
420,508
421,508
422,508
423,508
424,508
425,508
426,510
427,508
428,508
429,510
430,508
431,509
432,509
433,507
434,507
435,507
436,507
437,508
438,505
439,508
440,508
441,509
442,507
443,506
444,508
445,507
446,505
447,506
448,508
449,510
450,511
451,508
452,508
453,510
454,508
455,510
456,507
457,507
458,508
459,507
460,505
461,506
462,508
463,508
464,509
465,508
466,510
467,509
468,507
469,507
470,506
471,508
472,509
473,507
474,508
475,510
476,509
477,509
478,507
479,507
480,506
481,506
482,509
483,509
484,508
485,507
486,508
487,507
488,509
489,508
490,508
491,506
492,511
493,506
494,508
495,508
496,506
497,509
498,507
499,507
500,508
501,508
502,507
503,508
504,507
505,507
506,509
507,508
508,508
509,508
510,507
511,507
512,508
513,508
514,510
515,508
516,510
517,511
518,506
519,508
520,508
521,507
522,507
523,507
524,510
525,507
526,506
527,505
528,508
529,508
530,507
531,509
532,506
533,510
534,510
535,508
536,505
537,505
538,507
539,508
540,508
541,510
542,508
543,507
544,506
545,508
546,508
547,508
548,510
549,507
550,510
551,508
552,508
553,507
554,507
555,506
556,506
557,508
558,508
559,508
560,508
561,506
562,507
563,508
564,509
565,508
566,509
567,508
568,507
569,508
570,511
571,507
572,507
573,508
574,508
575,508
576,507
577,509
578,506
579,507
580,508
581,509
582,508
583,509
584,506
585,508
586,508
587,508
588,508
589,508
590,508
591,507
592,509
593,507
594,506
595,506
596,508
597,507
598,510
599,508
600,508
601,510
602,507
603,508
604,507
605,509
606,507
607,507
608,509
609,509
610,508
611,508
612,506
613,508
614,509
615,508
616,507
617,508
618,508
619,508
620,506
621,507
622,509
623,507
624,507
625,508
626,507
627,509
628,508
629,509
630,508
631,509
632,509
633,508
634,508
635,507
636,508
637,508
638,509
639,507
640,508
641,507
642,508
643,510
644,509
645,509
646,507
647,507
648,509
649,507
650,507
651,505
652,506
653,504
654,509
655,509
656,507
657,509
658,507
659,509
660,509
661,508
662,508
663,509
664,509
665,508
666,507
667,507
668,506
669,508
670,508
671,509
672,508
673,508
674,510
675,508
676,508
677,508
678,509
679,508
680,509
681,508
682,507
683,509
684,507
685,507
686,509
687,510
688,509
689,507
690,508
691,508
692,508
693,508
694,505
695,508
696,508
697,509
698,508
699,510
700,508
701,508
702,510
703,510
704,510
705,509
706,510
707,508
708,509
709,509
710,509
711,507
712,508
713,508
714,508
715,510
716,508
717,504
718,505
719,507
720,507
721,507
722,510
723,508
724,508
725,507
726,506
727,506
728,504
729,506
730,507
731,506
732,507
733,507
734,508
735,507
736,505
737,506
738,508
739,511
740,507
741,506
742,508
743,508
744,507
745,510
746,510
747,512
748,511
749,511
750,510
751,511
752,509
753,508
754,507
755,507
756,508
757,509
758,506
759,507
760,507
761,505
762,506
763,505
764,508
765,508
766,507
767,508
768,508
769,509
770,508
771,506
772,509
773,506
774,507
775,507
776,508
777,508
778,506
779,509
780,508
781,508
782,508
783,507
784,509
785,509
786,511
787,507
788,508
789,510
790,507
791,508
792,508
793,509
794,507
795,509
796,508
797,511
798,511
799,508
800,508
801,509
802,507
803,507
804,507
805,508
806,506
807,506
808,508
809,508
810,508
811,508
812,508
813,508
814,505
815,507
816,510
817,509
818,507
819,508
820,508
821,509
822,507
823,507
824,508
825,509
826,509
827,508
828,510
829,508
830,509
831,507
832,509
833,506
834,507
835,507
836,509
837,507
838,508
839,507
840,507
841,508
842,507
843,506
844,507
845,509
846,510
847,510
848,510
849,509
850,507
851,508
852,507
853,508
854,510
855,508
856,507
857,508
858,507
859,509
860,507
861,508
862,506
863,508
864,508
865,508
866,508
867,507
868,508
869,509
870,507
871,506
872,507
873,508
874,507
875,509
876,508
877,507
878,510
879,506
880,508
881,508
882,507
883,508
884,508
885,507
886,509
887,510
888,509
889,508
890,508
891,505
892,507
893,507
894,505
895,507
896,507
897,508
898,510
899,510
900,508
901,511
902,507
903,508
904,509
905,507
906,506
907,508
908,510
909,509
910,508
911,505
912,508
913,507
914,509
915,507
916,507
917,506
918,507
919,508
920,508
921,506
922,508
923,509
924,508
925,509
926,509
927,509
928,508
929,508
930,508
931,508
932,508
933,507
934,508
935,507
936,506
937,507
938,507
939,507
940,507
941,509
942,508
943,508
944,508
945,506
946,510
947,509
948,508
949,510
950,507
951,510
952,507
953,509
954,507
955,506
956,509
957,507
958,509
959,508
960,511
961,510
962,507
963,508
964,508
965,507
966,507
967,507
968,508
969,509
970,508
971,508
972,507
973,508
974,507
975,508
976,508
977,508
978,507
979,509
980,508
981,507
982,507
983,509
984,509
985,507
986,508
987,507
988,507
989,510
990,507
991,508
992,508
993,507
994,508
995,505
996,509
997,507
998,509
999,508
1000,508
1001,506
1002,507
1003,508
1004,508
1005,507
1006,504
1007,509
1008,508
1009,511
1010,507
1011,508
1012,508
1013,508
1014,508
1015,508
1016,508
1017,509
1018,510
1019,510
1020,508
1021,508
1022,507
1023,508
1024,509
1025,506
1026,509
1027,508
1028,508
1029,508
1030,508
1031,507
1032,505
1033,508
1034,509
1035,509
1036,508
1037,508
1038,511
1039,507
1040,507
1041,507
1042,509
