timestamp,A2
0,509
1,509
2,509
3,510
4,509
5,509
6,509
7,509
8,509
9,509
10,509
11,509
12,509
13,509
14,509
15,510
16,510
17,510
18,510
19,509
20,510
21,509
22,508
23,508
24,508
25,508
26,508
27,508
28,509
29,509
30,509
31,509
32,509
33,509
34,510
35,510
36,509
37,509
38,509
39,509
40,509
41,509
42,509
43,510
44,509
45,509
46,509
47,508
48,508
49,508
50,508
51,508
52,508
53,508
54,508
55,509
56,509
57,508
58,508
59,509
60,509
61,509
62,509
63,509
64,510
65,509
66,510
67,510
68,509
69,509
70,509
71,510
72,510
73,510
74,509
75,508
76,508
77,508
78,508
79,508
80,508
81,508
82,508
83,508
84,507
85,507
86,507
87,507
88,507
89,507
90,507
91,507
92,507
93,507
94,507
95,507
96,507
97,508
98,507
99,508
100,508
101,508
102,508
103,509
104,508
105,508
106,508
107,508
108,508
109,507
110,508
111,508
112,508
113,508
114,507
115,508
116,508
117,508
118,509
119,508
120,508
121,508
122,508
123,508
124,508
125,509
126,509
127,509
128,509
129,509
130,509
131,509
132,509
133,509
134,509
135,508
136,508
137,508
138,508
139,508
140,508
141,509
142,509
143,509
144,508
145,508
146,508
147,508
148,509
149,508
150,509
151,509
152,509
153,509
154,510
155,510
156,510
157,510
158,511
159,511
160,511
161,510
162,510
163,510
164,510
165,509
166,509
167,509
168,508
169,509
170,509
171,510
172,509
173,509
174,508
175,509
176,508
177,508
178,508
179,508
180,509
181,508
182,508
183,508
184,508
185,509
186,510
187,510
188,510
189,510
190,510
191,510
192,510
193,509
194,509
195,510
196,509
197,509
198,509
199,508
200,508
201,508
202,508
203,508
204,508
205,508
206,508
207,508
208,508
209,509
210,509
211,509
212,510
213,509
214,508
215,508
216,509
217,509
218,509
219,509
220,510
221,510
222,510
223,509
224,510
225,510
226,510
227,510
228,510
229,509
230,510
231,509
232,509
233,510
234,510
235,510
236,510
237,510
238,510
239,510
240,509
241,510
242,510
243,509
244,509
245,509
246,509
247,509
248,510
249,510
250,510
251,511
252,511
253,511
254,511
255,510
256,510
257,510
258,510
259,510
260,510
261,510
262,510
263,510
264,510
265,510
266,510
267,510
268,510
269,509
270,508
271,508
272,509
273,509
274,509
275,509
276,509
277,509
278,509
279,509
280,509
281,509
282,510
283,510
284,509
285,509
286,509
287,509
288,510
289,510
290,510
291,510
292,510
293,509
294,508
295,508
296,508
297,509
298,509
299,509
300,509
301,509
302,509
303,509
304,509
305,510
306,509
307,509
